	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-06889	55	51	17	76	15	40
gRNA-No-40453	77	96	18	96	60	84
gRNA-No-06891	0	0	0	0	0	0
gRNA-No-06892	23	38	13	80	18	27
gRNA-No-06893	138	186	69	388	154	140
gRNA-No-40467	317	381	159	814	262	222
gRNA-No-06895	0	2	0	0	3	9
gRNA-No-06897	8	4	14	58	25	7
gRNA-No-06898	13	9	0	3	0	0
gRNA-No-06901	1	2	0	3	1	1
gRNA-No-06902	23	119	9	89	60	137
gRNA-No-06903	0	1	0	1	0	0
gRNA-No-06904	29	65	12	132	99	119
gRNA-No-06905	0	0	0	0	0	0
gRNA-No-06906	0	1	20	106	16	14
gRNA-No-06907	94	246	60	717	104	204
gRNA-No-06908	1	10	0	1	0	2
gRNA-No-06909	73	148	32	186	74	58
gRNA-No-06910	115	134	24	105	65	45
gRNA-No-06911	61	96	39	175	69	42
gRNA-No-06912	28	29	0	0	0	1
gRNA-No-06913	29	11	3	0	28	12
gRNA-No-06914	151	172	69	337	201	193
gRNA-No-06916	2	10	0	1	0	0
gRNA-No-06917	3	0	0	0	0	0
gRNA-No-06918	169	133	82	371	136	97
gRNA-No-06919	0	0	0	0	0	0
gRNA-No-06920	0	0	0	0	0	0
gRNA-No-06921	24	26	9	77	16	15
gRNA-No-06922	11	21	1	22	14	25
gRNA-No-06923	201	208	47	281	156	78
gRNA-No-06924	134	159	68	295	68	68
gRNA-No-06925	133	181	98	498	96	75
gRNA-No-06926	0	2	0	2	0	0
gRNA-No-06928	67	93	43	167	0	2
gRNA-No-06929	2	7	5	36	0	0
gRNA-No-06930	236	303	20	141	87	82
gRNA-No-06931	24	41	37	129	103	62
gRNA-No-06932	8	11	11	30	2	17
gRNA-No-06933	77	59	39	208	8	9
gRNA-No-06934	176	390	132	748	216	356
gRNA-No-06936	1	0	2	25	1	4
gRNA-No-06938	32	44	54	326	40	23
gRNA-No-06940	82	106	60	286	67	83
gRNA-No-06941	36	66	9	102	2	2
gRNA-No-06942	0	0	0	0	0	0
gRNA-No-06943	97	143	87	465	150	118
gRNA-No-35271	32	21	21	152	54	43
gRNA-No-26653	119	237	39	333	146	149
gRNA-No-06946	119	118	76	304	58	71
gRNA-No-06948	269	308	124	522	159	170
gRNA-No-06949	65	115	21	114	16	39
gRNA-No-20273	79	157	68	560	65	115
gRNA-No-26658	19	24	0	83	0	14
gRNA-No-06953	44	52	36	163	67	69
gRNA-No-26659	51	85	10	103	55	62
gRNA-No-06956	423	348	95	474	199	202
gRNA-No-40879	94	135	41	252	81	102
gRNA-No-06958	127	127	56	268	152	115
gRNA-No-06959	14	15	12	74	7	8
gRNA-No-06960	6	7	4	27	0	0
gRNA-No-06962	3	2	2	4	32	39
gRNA-No-06964	49	118	32	207	80	88
gRNA-No-06965	17	18	12	43	20	12
gRNA-No-48067	62	71	29	80	74	87
gRNA-No-06966	128	197	10	121	101	106
gRNA-No-06967	150	174	50	216	110	135
gRNA-No-06968	112	73	29	197	33	39
gRNA-No-06969	44	64	38	160	82	66
gRNA-No-06970	2	6	9	81	3	0
gRNA-No-40945	112	136	38	76	44	28
gRNA-No-40948	17	12	3	7	12	14
gRNA-No-06974	16	29	3	12	8	4
gRNA-No-06975	370	553	173	1123	316	348
gRNA-No-06976	197	213	71	420	115	98
gRNA-No-06977	12	35	12	94	34	79
gRNA-No-06978	51	77	23	154	40	37
gRNA-No-06979	38	100	20	103	38	39
gRNA-No-06980	20	53	28	69	29	33
gRNA-No-06981	320	490	199	1054	584	490
gRNA-No-40976	7	29	25	111	16	4
gRNA-No-06983	27	39	7	43	16	6
gRNA-No-48068	22	28	36	114	12	6
gRNA-No-33066	0	1	0	0	2	0
gRNA-No-06986	69	90	18	92	74	59
gRNA-No-43828	166	122	10	103	51	50
gRNA-No-41292	63	107	36	109	23	26
gRNA-No-06989	0	0	0	0	0	0
gRNA-No-06990	282	287	81	510	141	142
gRNA-No-06991	39	94	14	63	2	1
gRNA-No-06992	0	2	0	0	0	0
gRNA-No-06993	0	0	0	0	0	0
gRNA-No-06994	0	0	0	0	0	0
gRNA-No-06996	0	0	0	0	0	0
gRNA-No-06997	1	0	15	102	29	26
gRNA-No-06998	19	14	12	31	70	77
gRNA-No-06999	115	126	25	78	14	16
gRNA-No-07000	0	0	0	0	0	0
gRNA-No-01267	17	14	6	30	27	23
gRNA-No-43837	0	1	0	3	0	0
gRNA-No-01268	0	2	0	0	0	0
gRNA-No-33218	4	7	0	3	0	3
gRNA-No-01269	16	42	17	57	25	6
gRNA-No-26617	18	69	4	40	32	42
gRNA-No-07008	61	88	44	183	52	35
gRNA-No-18171	0	0	0	0	0	0
gRNA-No-07011	0	0	0	0	0	0
gRNA-No-07012	27	42	3	16	2	1
gRNA-No-18174	1	0	0	0	0	0
gRNA-No-07014	112	209	88	426	265	194
gRNA-No-07015	10	35	9	117	16	14
gRNA-No-33697	118	135	83	421	83	43
gRNA-No-07017	2	4	0	11	0	1
gRNA-No-07018	0	0	0	0	0	0
gRNA-No-07019	1	11	2	11	23	47
gRNA-No-07020	131	192	40	300	131	118
gRNA-No-07021	10	32	4	50	0	4
gRNA-No-07022	0	0	0	0	0	0
gRNA-No-21160	10	35	0	8	0	23
gRNA-No-07026	18	48	14	195	4	61
gRNA-No-07027	30	50	15	50	25	40
gRNA-No-07028	3	12	0	16	2	4
gRNA-No-07029	52	120	29	131	36	44
gRNA-No-07030	245	284	68	396	159	200
gRNA-No-07032	0	2	7	62	16	32
gRNA-No-07033	118	104	26	111	58	54
gRNA-No-07034	54	77	27	254	31	53
gRNA-No-07035	1	2	0	10	1	1
gRNA-No-07036	5	7	0	10	1	2
gRNA-No-07037	202	287	110	596	164	126
gRNA-No-38294	39	109	39	281	56	125
gRNA-No-38309	17	12	13	56	23	24
gRNA-No-07041	289	272	160	956	362	346
gRNA-No-07042	1	0	0	0	0	0
gRNA-No-07043	7	72	0	0	0	1
gRNA-No-07044	0	0	0	0	0	0
gRNA-No-07045	34	65	52	208	68	75
gRNA-No-07046	720	1183	376	1970	656	647
gRNA-No-07047	207	266	79	801	207	201
gRNA-No-07048	0	0	0	0	1	0
gRNA-No-07050	1	0	0	1	0	0
gRNA-No-07051	185	263	83	606	162	149
gRNA-No-44080	0	0	0	0	0	0
gRNA-No-07053	0	1	11	89	5	8
gRNA-No-21333	109	139	30	136	82	70
gRNA-No-07054	0	0	0	0	1	0
gRNA-No-07055	0	0	0	0	0	0
gRNA-No-35304	290	342	150	990	333	508
gRNA-No-07057	80	161	43	179	58	48
gRNA-No-35305	93	76	7	87	77	56
gRNA-No-07059	44	48	5	8	0	0
gRNA-No-07060	1	0	0	2	0	0
gRNA-No-07063	0	1	0	2	0	0
gRNA-No-07064	4	26	0	0	0	16
gRNA-No-07065	70	166	18	116	42	58
gRNA-No-07066	16	13	0	10	1	4
gRNA-No-07067	0	0	4	31	0	0
gRNA-No-07068	22	58	30	126	58	60
gRNA-No-07069	32	43	35	196	66	41
gRNA-No-26577	44	99	25	166	37	46
gRNA-No-07072	89	107	55	200	95	60
gRNA-No-07073	101	146	46	310	61	66
gRNA-No-09859	0	0	0	0	0	0
gRNA-No-09735	0	0	0	0	0	0
gRNA-No-18188	0	0	0	0	0	0
gRNA-No-07079	182	227	97	633	247	195
gRNA-No-07080	9	9	8	82	0	0
gRNA-No-07081	6	2	15	38	10	8
gRNA-No-07082	19	28	6	30	22	17
gRNA-No-07084	1	4	0	10	2	1
gRNA-No-07085	74	132	43	326	80	101
gRNA-No-07086	2	4	0	2	0	0
gRNA-No-03340	3	8	1	11	3	7
gRNA-No-10924	53	103	58	319	42	25
gRNA-No-07089	77	76	25	110	34	27
gRNA-No-07090	2	3	1	2	5	27
gRNA-No-07091	546	714	247	1205	554	483
gRNA-No-07093	29	54	31	180	19	27
gRNA-No-42021	28	28	15	85	29	37
gRNA-No-07096	18	34	21	75	21	40
gRNA-No-07097	184	223	71	272	205	118
gRNA-No-07098	11	37	0	22	2	15
gRNA-No-07099	34	55	18	92	39	22
gRNA-No-42042	412	441	165	668	551	451
gRNA-No-18195	12	33	46	121	43	39
gRNA-No-35318	0	0	0	0	0	0
gRNA-No-07108	0	0	0	0	0	0
gRNA-No-05793	0	0	0	0	0	0
gRNA-No-07109	0	1	0	1	0	0
gRNA-No-43859	117	150	80	318	36	63
gRNA-No-08315	15	15	38	135	37	43
gRNA-No-45800	12	319	14	796	21	296
gRNA-No-18205	4	20	2	11	1	1
gRNA-No-07113	0	0	0	0	0	0
gRNA-No-07116	0	0	0	0	0	0
gRNA-No-07118	84	112	41	310	44	65
gRNA-No-07120	12	28	6	29	17	12
gRNA-No-07121	11	27	7	44	19	11
gRNA-No-07123	21	15	32	134	21	12
gRNA-No-42350	0	9	1	39	0	2
gRNA-No-42352	84	128	66	352	49	63
gRNA-No-07126	2	4	0	0	2	3
gRNA-No-07127	219	200	128	523	274	214
gRNA-No-07129	2	1	0	0	6	6
gRNA-No-31544	97	113	82	220	145	182
gRNA-No-07131	3	0	30	127	41	7
gRNA-No-07132	0	0	0	0	0	0
gRNA-No-42358	131	208	28	100	15	31
gRNA-No-07134	82	56	15	109	31	20
gRNA-No-07135	0	0	13	71	0	3
gRNA-No-07136	64	133	28	271	28	83
gRNA-No-20959	91	82	26	124	74	66
gRNA-No-07139	0	0	0	0	0	0
gRNA-No-35321	130	203	72	282	63	61
gRNA-No-07142	0	0	0	0	0	0
gRNA-No-07143	185	203	66	381	133	107
gRNA-No-07144	42	66	43	252	116	113
gRNA-No-07145	0	0	2	0	0	0
gRNA-No-45748	1	40	0	45	0	19
gRNA-No-07147	4	23	8	26	3	11
gRNA-No-07148	0	0	0	0	0	0
gRNA-No-07149	60	402	34	782	44	194
gRNA-No-07150	1	92	1	20	0	18
gRNA-No-35324	19	16	30	110	105	76
gRNA-No-07153	0	1	0	0	0	1
gRNA-No-42425	0	0	0	0	0	2
gRNA-No-07155	4	9	0	1	0	0
gRNA-No-28319	0	0	2	2	4	4
gRNA-No-31621	61	81	25	121	40	38
gRNA-No-07159	340	463	122	828	175	196
gRNA-No-07160	245	270	85	310	369	253
gRNA-No-14706	308	499	151	775	263	278
gRNA-No-07162	153	248	106	563	149	121
gRNA-No-07163	15	21	7	22	14	24
gRNA-No-07164	6	26	0	0	0	0
gRNA-No-07165	310	434	96	654	237	193
gRNA-No-07166	0	0	0	0	0	0
gRNA-No-42527	5	2	5	67	18	28
gRNA-No-07168	0	0	0	8	1	4
gRNA-No-18222	0	0	0	0	0	0
gRNA-No-49890	111	152	41	181	68	57
gRNA-No-07174	19	18	4	49	17	22
gRNA-No-07176	140	213	81	480	185	209
gRNA-No-07177	74	108	54	226	56	85
gRNA-No-42584	15	19	1	24	0	7
gRNA-No-07179	0	2	0	1	15	13
gRNA-No-07180	1	3	3	32	59	67
gRNA-No-07181	11	9	0	0	38	4
gRNA-No-07182	0	0	0	0	0	0
gRNA-No-07183	0	0	0	0	0	0
gRNA-No-13880	0	0	0	0	0	0
gRNA-No-34650	0	0	0	0	0	0
gRNA-No-07186	32	36	16	96	38	30
gRNA-No-07187	52	64	17	142	33	24
gRNA-No-07188	2	8	0	15	1	3
gRNA-No-07189	110	137	59	421	132	87
gRNA-No-07190	0	0	0	0	0	0
gRNA-No-07191	1	0	7	30	0	0
gRNA-No-07192	116	368	58	736	124	276
gRNA-No-07194	49	73	50	232	76	94
gRNA-No-42686	11	53	11	42	23	14
gRNA-No-45521	0	0	1	0	27	36
gRNA-No-07197	0	0	0	0	0	0
gRNA-No-07198	7	24	9	33	6	9
gRNA-No-09885	25	13	36	172	39	48
gRNA-No-07200	57	48	17	190	44	45
gRNA-No-07202	115	163	70	331	153	142
gRNA-No-07203	1	0	0	1	0	0
gRNA-No-07204	22	9	8	29	26	12
gRNA-No-15323	0	0	0	0	0	0
gRNA-No-07206	135	188	31	215	64	115
gRNA-No-07207	0	0	0	0	0	0
gRNA-No-03918	0	0	0	0	1	0
gRNA-No-09888	20	27	8	70	2	6
gRNA-No-07211	48	40	2	64	21	51
gRNA-No-45580	0	25	0	0	1	3
gRNA-No-09891	27	42	10	48	16	8
gRNA-No-07215	0	0	0	0	0	0
gRNA-No-39611	150	185	70	300	3	125
gRNA-No-07216	21	114	20	132	25	79
gRNA-No-07220	236	266	67	460	150	96
gRNA-No-07221	147	165	46	264	80	63
gRNA-No-07222	2	2	0	0	0	0
gRNA-No-43894	0	0	0	0	0	0
gRNA-No-07224	41	70	40	122	65	59
gRNA-No-07225	62	112	19	120	48	44
gRNA-No-07226	14	17	0	0	2	3
gRNA-No-07227	4	9	5	7	12	12
gRNA-No-07228	32	62	28	137	55	37
gRNA-No-07229	0	0	0	0	35	36
gRNA-No-07230	23	33	12	43	0	4
gRNA-No-07231	0	5	3	0	26	11
gRNA-No-07232	1	5	7	28	29	12
gRNA-No-07233	0	0	0	0	0	0
gRNA-No-09898	947	1161	432	1868	718	556
gRNA-No-07236	68	109	9	66	46	106
gRNA-No-07237	0	6	4	27	0	4
gRNA-No-27399	36	39	44	153	35	24
gRNA-No-27420	14	104	3	148	5	74
gRNA-No-07240	53	102	21	180	49	95
gRNA-No-32201	104	138	42	281	69	117
gRNA-No-27465	0	0	0	0	0	0
gRNA-No-32321	2	0	11	125	0	1
gRNA-No-42918	0	0	0	7	21	6
gRNA-No-27511	1	119	3	211	4	93
gRNA-No-07247	2	9	0	2	1	2
gRNA-No-07248	55	73	28	110	69	76
gRNA-No-07249	55	40	24	83	36	46
gRNA-No-07250	1	0	0	1	1	2
gRNA-No-07251	42	88	21	81	68	46
gRNA-No-07252	0	0	0	0	0	0
gRNA-No-07253	54	48	3	18	21	19
gRNA-No-07254	0	2	8	46	6	7
gRNA-No-07255	155	143	97	304	97	81
gRNA-No-39619	0	0	0	0	0	0
gRNA-No-07257	0	0	0	0	0	0
gRNA-No-07258	3	34	4	22	56	34
gRNA-No-07259	4	19	0	1	0	0
gRNA-No-07261	341	403	202	871	232	199
gRNA-No-07262	0	3	0	0	0	0
gRNA-No-07263	27	10	14	79	28	25
gRNA-No-07264	0	1	0	0	0	0
gRNA-No-07266	0	0	0	0	0	0
gRNA-No-07267	7	10	2	0	0	0
gRNA-No-47342	39	47	19	73	49	44
random-grna-no-00379	85	104	39	174	84	78
random-grna-no-00378	538	666	370	1379	638	463
gRNA-No-07270	0	0	0	0	0	0
random-grna-no-00375	328	394	149	790	359	288
random-grna-no-00374	9430	12058	5147	27292	10900	9397
random-grna-no-00377	49	76	9	47	25	36
random-grna-no-00376	1417	1542	686	3367	1126	914
gRNA-No-07275	221	204	103	534	168	136
random-grna-no-00370	655	661	198	1006	555	514
random-grna-no-00373	1215	1676	627	3289	1247	1198
random-grna-no-00372	796	973	333	1788	651	705
gRNA-No-07279	87	161	76	373	87	64
gRNA-No-07280	32	38	1	7	6	3
gRNA-No-07281	99	152	84	326	80	55
gRNA-No-07282	14	31	5	21	22	34
gRNA-No-07283	7	0	0	0	0	0
gRNA-No-07284	20	41	13	23	18	19
gRNA-No-07285	23	22	14	122	31	43
gRNA-No-07286	7	15	9	73	24	26
gRNA-No-07287	16	24	11	73	2	0
gRNA-No-07288	9	33	17	34	1	3
gRNA-No-43911	0	0	0	0	0	0
gRNA-No-07290	177	225	51	290	90	42
gRNA-No-07292	31	52	9	81	71	82
gRNA-No-14547	0	2	3	30	14	9
gRNA-No-07294	0	0	1	5	0	0
gRNA-No-07295	101	174	61	274	131	92
gRNA-No-07296	36	46	7	31	4	6
gRNA-No-07297	9	16	0	0	6	12
gRNA-No-07298	44	40	8	37	51	32
gRNA-No-11621	47	84	47	220	99	65
gRNA-No-07301	0	0	4	16	0	1
gRNA-No-07302	206	231	57	216	198	138
gRNA-No-07303	0	0	0	0	0	0
gRNA-No-07305	57	92	33	126	55	51
gRNA-No-07306	11	27	32	83	24	30
gRNA-No-07307	0	0	0	0	0	0
gRNA-No-07308	0	0	0	0	0	0
gRNA-No-43915	202	274	109	621	167	147
gRNA-No-07310	0	0	0	0	0	0
gRNA-No-07311	0	0	0	0	0	0
gRNA-No-07312	0	0	0	0	0	0
gRNA-No-07315	2	0	0	0	0	0
gRNA-No-07316	0	0	7	22	3	7
gRNA-No-07317	54	57	10	73	16	30
gRNA-No-07318	0	0	0	0	0	0
gRNA-No-07319	96	108	62	266	107	93
gRNA-No-07320	0	0	0	0	1	0
gRNA-No-29438	23	24	0	54	4	18
gRNA-No-07322	272	380	191	972	453	412
gRNA-No-07323	1	1	1	17	0	0
gRNA-No-07324	18	35	3	4	7	1
gRNA-No-07325	0	0	0	1	1	0
gRNA-No-07327	79	79	68	298	91	59
gRNA-No-29476	53	79	17	221	62	80
gRNA-No-07330	0	0	0	0	0	0
gRNA-No-07331	0	0	0	0	0	0
gRNA-No-07332	130	202	24	140	70	77
gRNA-No-14184	490	652	314	1703	504	499
gRNA-No-07336	2	51	0	65	0	1
gRNA-No-07337	154	136	40	230	150	107
gRNA-No-07338	31	36	8	77	22	22
gRNA-No-07339	0	4	3	17	8	3
gRNA-No-07340	49	68	30	224	47	29
gRNA-No-07341	323	378	147	675	333	269
gRNA-No-07342	43	67	4	26	18	24
gRNA-No-07343	51	50	42	151	41	38
gRNA-No-07344	138	154	96	547	132	91
gRNA-No-07345	37	23	8	69	14	8
gRNA-No-07346	0	1	0	0	4	6
gRNA-No-07347	34	28	30	171	88	67
gRNA-No-07348	22	25	15	137	12	9
gRNA-No-07349	151	216	105	581	85	65
gRNA-No-07350	0	0	0	2	0	0
gRNA-No-07354	50	47	34	139	79	62
gRNA-No-07355	1	7	0	26	2	12
gRNA-No-11762	0	0	0	0	0	0
gRNA-No-07356	0	0	5	26	9	16
gRNA-No-07357	0	0	0	6	2	1
gRNA-No-07358	144	179	56	249	212	206
gRNA-No-07359	281	346	125	572	385	316
gRNA-No-07360	130	132	77	350	93	100
gRNA-No-07361	0	0	0	0	0	0
gRNA-No-07363	7	21	6	20	30	32
gRNA-No-07364	166	262	85	519	216	241
gRNA-No-07365	2	3	3	29	2	0
gRNA-No-07369	0	0	0	0	0	0
gRNA-No-46408	18	26	0	10	32	38
gRNA-No-07372	295	381	96	685	300	316
gRNA-No-07373	0	0	0	0	0	0
gRNA-No-27750	41	58	31	231	40	52
gRNA-No-07376	143	234	49	394	96	156
gRNA-No-27793	103	200	78	369	74	91
gRNA-No-43639	50	97	28	108	135	157
gRNA-No-07379	142	169	41	240	91	103
gRNA-No-07380	128	111	47	157	67	76
gRNA-No-07381	23	30	9	53	1	0
gRNA-No-07382	1	0	0	0	0	0
gRNA-No-07383	0	0	4	7	0	0
gRNA-No-07384	134	181	72	335	190	186
gRNA-No-07386	133	221	44	308	134	73
gRNA-No-07387	134	150	68	246	50	50
gRNA-No-07388	285	466	154	914	371	353
gRNA-No-07390	2	6	1	8	1	6
gRNA-No-07391	195	216	110	531	164	197
gRNA-No-07392	2	0	0	0	1	2
gRNA-No-07394	0	0	0	0	0	0
gRNA-No-07395	0	0	2	17	18	12
gRNA-No-07396	83	78	16	100	41	64
gRNA-No-09176	240	255	77	411	99	99
gRNA-No-07398	2	37	4	74	8	8
gRNA-No-07399	2	23	22	91	6	3
gRNA-No-07400	3	15	8	16	7	5
gRNA-No-43708	149	250	74	444	90	51
gRNA-No-07402	175	234	83	449	235	220
gRNA-No-07403	219	387	168	942	186	253
gRNA-No-07404	22	34	16	156	20	66
gRNA-No-43930	94	108	73	265	176	100
gRNA-No-07407	0	0	0	0	0	0
gRNA-No-07408	42	75	19	84	124	105
gRNA-No-43931	33	15	4	57	51	18
gRNA-No-07410	0	0	0	0	0	0
gRNA-No-43722	0	10	5	53	5	12
gRNA-No-07412	63	76	26	157	1	5
gRNA-No-04458	2	2	3	10	2	1
gRNA-No-07414	103	146	66	460	142	145
gRNA-No-04478	73	109	39	177	123	69
gRNA-No-43740	15	20	12	112	11	18
gRNA-No-07417	27	32	33	81	30	26
gRNA-No-07418	0	0	0	0	0	0
gRNA-No-07419	1	0	0	0	0	0
gRNA-No-07421	0	14	3	106	56	71
gRNA-No-07422	8	29	4	26	5	11
gRNA-No-13480	0	0	0	0	0	0
gRNA-No-18889	124	193	179	521	162	122
gRNA-No-07425	0	0	0	0	0	0
gRNA-No-43824	20	26	26	72	10	5
gRNA-No-43825	3	26	9	109	3	5
gRNA-No-43826	25	62	36	210	33	14
gRNA-No-43829	34	57	28	241	69	106
gRNA-No-22507	1	6	0	10	2	4
gRNA-No-07431	54	218	36	591	38	74
gRNA-No-07432	0	0	6	43	0	4
gRNA-No-22559	140	241	84	384	154	157
gRNA-No-43840	141	218	111	658	124	98
gRNA-No-43841	45	123	17	301	75	135
gRNA-No-07436	7	18	14	36	11	28
gRNA-No-43845	45	77	6	129	4	86
gRNA-No-07439	79	162	47	173	108	149
gRNA-No-07441	0	1	17	95	0	3
gRNA-No-35362	33	39	5	23	29	21
gRNA-No-15029	0	0	0	0	0	0
gRNA-No-07448	52	61	64	313	83	64
gRNA-No-43934	54	62	42	132	64	83
gRNA-No-43938	0	0	0	0	0	0
gRNA-No-43944	0	1	0	0	0	4
gRNA-No-07452	88	96	25	72	81	52
gRNA-No-43955	102	212	78	369	205	128
gRNA-No-10403	71	369	29	198	39	78
gRNA-No-07454	8	16	6	44	28	15
gRNA-No-07455	40	44	11	140	26	23
gRNA-No-07457	0	0	0	0	0	0
gRNA-No-09948	0	0	0	0	0	0
gRNA-No-35368	42	78	25	79	21	12
gRNA-No-22124	0	0	0	1	0	0
gRNA-No-07460	344	481	141	926	285	290
gRNA-No-07461	47	102	20	49	22	28
gRNA-No-07462	72	100	69	360	94	77
gRNA-No-07463	13	15	4	67	35	22
gRNA-No-07464	215	284	64	312	221	211
gRNA-No-07465	0	0	0	0	4	8
gRNA-No-07466	49	73	25	128	46	33
gRNA-No-46366	0	0	0	0	0	0
gRNA-No-07470	0	0	0	0	0	0
gRNA-No-07472	58	74	30	123	60	66
gRNA-No-07473	4	0	0	0	0	0
gRNA-No-25188	11	25	14	80	14	11
gRNA-No-07475	250	332	186	771	336	271
gRNA-No-35374	110	133	36	153	62	46
gRNA-No-07477	52	72	19	103	100	75
gRNA-No-07479	0	0	0	0	0	0
gRNA-No-05379	0	0	0	0	0	0
gRNA-No-07483	0	0	0	0	0	0
gRNA-No-07484	42	93	64	352	139	90
gRNA-No-07485	358	506	203	880	192	193
gRNA-No-18621	1	1	1	2	16	14
gRNA-No-07487	13	28	4	12	10	23
gRNA-No-07488	70	57	37	195	88	65
gRNA-No-07489	0	0	0	1	0	0
gRNA-No-44222	98	98	70	274	65	39
gRNA-No-44223	59	39	21	124	15	7
gRNA-No-07492	0	0	0	0	0	0
gRNA-No-07493	3	5	0	0	0	2
gRNA-No-07494	38	43	21	72	70	34
gRNA-No-07495	0	0	0	0	5	1
gRNA-No-07496	9	7	5	15	40	36
gRNA-No-07497	159	159	82	447	63	57
gRNA-No-07498	3	3	13	39	15	6
gRNA-No-44243	16	53	6	80	53	33
gRNA-No-07500	132	320	54	501	87	140
gRNA-No-07501	0	0	0	0	0	0
gRNA-No-07502	1	1	34	68	0	0
gRNA-No-07503	138	249	35	170	177	138
gRNA-No-44256	0	2	1	3	14	7
gRNA-No-07505	0	0	0	0	0	0
gRNA-No-30643	143	253	109	514	107	91
gRNA-No-09928	21	31	0	2	20	17
gRNA-No-07508	107	106	68	299	63	69
gRNA-No-07509	0	0	0	0	1	0
gRNA-No-07510	24	4	0	7	11	5
gRNA-No-07511	149	203	71	343	170	151
gRNA-No-07513	19	62	11	62	43	33
gRNA-No-44342	41	31	49	167	83	40
gRNA-No-07515	0	0	0	0	0	0
gRNA-No-07516	0	0	25	50	0	0
gRNA-No-07517	31	46	33	209	56	58
gRNA-No-44347	26	49	10	50	21	27
gRNA-No-07519	0	0	0	0	0	0
gRNA-No-07520	10	4	17	101	11	3
gRNA-No-07521	92	116	96	358	88	78
gRNA-No-07522	266	397	164	760	227	189
gRNA-No-07523	0	0	0	4	0	0
gRNA-No-07524	0	0	0	0	0	0
gRNA-No-07525	6	7	2	0	1	7
gRNA-No-07526	12	19	10	70	4	5
gRNA-No-07527	3	14	2	6	38	40
gRNA-No-07528	0	0	0	0	1	0
gRNA-No-07529	34	43	20	144	40	42
random-grna-no-00042	714	800	299	1483	802	748
random-grna-no-00043	1365	1881	700	3634	1455	1122
random-grna-no-00040	111	132	34	157	15	8
random-grna-no-00041	195	260	103	482	142	97
random-grna-no-00046	266	435	236	1088	296	262
random-grna-no-00047	2145	5150	1243	10959	2548	3670
random-grna-no-00044	738	1026	451	2262	676	727
random-grna-no-00045	346	435	227	963	412	371
gRNA-No-04613	34	50	11	42	28	21
random-grna-no-00048	307	459	282	1423	299	334
random-grna-no-00049	1525	1883	620	3239	1720	1418
gRNA-No-07536	53	43	38	115	49	57
gRNA-No-07537	0	0	0	0	0	0
gRNA-No-07538	22	33	14	55	28	39
gRNA-No-07539	0	0	0	3	0	1
gRNA-No-17879	0	0	0	0	0	0
gRNA-No-07541	28	28	11	114	1	6
gRNA-No-07542	0	0	0	0	0	0
gRNA-No-07543	6	15	7	24	25	18
gRNA-No-07544	0	0	0	5	0	1
gRNA-No-07545	0	1	0	0	0	0
gRNA-No-01449	60	58	59	316	68	80
gRNA-No-07548	28	16	0	17	12	4
gRNA-No-07549	0	0	0	0	0	0
gRNA-No-07551	107	137	50	246	41	37
gRNA-No-07552	10	25	0	0	1	5
gRNA-No-07553	95	149	65	554	197	186
gRNA-No-07554	20	39	21	119	53	70
gRNA-No-07555	83	73	71	377	109	113
gRNA-No-07556	198	175	104	521	151	155
gRNA-No-07557	0	0	0	0	0	0
gRNA-No-07558	30	115	82	221	47	53
gRNA-No-07559	46	102	32	255	91	94
gRNA-No-07562	54	107	33	313	12	32
gRNA-No-11614	190	205	114	751	317	253
gRNA-No-07567	0	0	0	0	0	0
gRNA-No-46890	44	54	15	58	27	22
gRNA-No-44623	124	164	47	186	75	29
gRNA-No-44628	3	4	8	19	1	1
gRNA-No-07571	0	0	0	0	0	0
gRNA-No-44634	9	19	0	5	0	1
gRNA-No-44638	8	35	9	38	48	29
gRNA-No-07574	20	41	6	83	14	34
gRNA-No-07575	49	101	26	160	16	27
gRNA-No-07576	0	4	0	0	3	7
gRNA-No-07577	11	61	2	32	1	4
gRNA-No-07582	104	346	69	754	71	192
gRNA-No-07584	17	12	1	72	0	4
gRNA-No-07585	0	1	3	8	1	0
gRNA-No-07586	100	120	40	198	53	33
gRNA-No-07587	135	148	49	140	110	95
gRNA-No-07588	167	190	91	336	133	90
gRNA-No-07589	129	207	61	691	14	185
gRNA-No-07590	5	46	0	256	5	79
gRNA-No-07591	0	1	0	3	2	55
gRNA-No-07592	0	0	0	0	0	0
gRNA-No-07593	245	282	85	457	83	58
gRNA-No-07594	237	356	89	504	260	249
gRNA-No-07595	23	16	1	9	7	3
gRNA-No-07596	0	0	1	0	0	0
gRNA-No-07598	0	3	0	1	0	1
gRNA-No-07599	42	36	12	143	27	28
gRNA-No-07601	123	137	60	445	149	142
gRNA-No-07602	6	10	5	29	0	0
gRNA-No-07603	128	151	107	438	195	139
gRNA-No-44850	79	41	18	110	24	52
gRNA-No-07605	9	1	6	4	0	0
gRNA-No-07609	16	39	5	42	40	9
gRNA-No-07610	167	211	107	432	237	194
gRNA-No-07611	18	15	0	14	8	0
gRNA-No-07612	7	8	12	18	26	23
gRNA-No-07614	0	0	0	0	0	0
gRNA-No-07615	0	0	0	0	0	0
gRNA-No-07616	0	0	0	0	0	0
gRNA-No-44888	158	171	71	396	221	112
gRNA-No-01841	0	0	0	0	0	0
gRNA-No-07621	92	135	39	261	59	48
