	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-00164	10	25	13	56	1	3
gRNA-No-00165	4	3	0	1	0	0
gRNA-No-00166	162	245	9	874	39	166
gRNA-No-00167	155	163	53	222	106	105
gRNA-No-01252	0	0	3	44	1	3
gRNA-No-01253	4	3	0	0	0	0
gRNA-No-01254	54	124	18	122	44	37
gRNA-No-00171	22	67	37	237	42	42
gRNA-No-00172	11	19	10	31	2	5
gRNA-No-00173	150	141	52	268	147	129
gRNA-No-00174	94	124	51	179	137	99
gRNA-No-00175	0	0	0	0	0	0
gRNA-No-00177	471	559	269	1192	379	325
gRNA-No-00178	19	39	9	66	5	9
gRNA-No-00179	0	0	0	0	0	0
gRNA-No-00180	8	19	22	90	30	55
gRNA-No-00181	99	320	75	517	127	207
gRNA-No-00185	1	0	0	0	0	0
gRNA-No-00186	80	76	5	37	14	23
gRNA-No-00187	213	246	88	405	171	173
gRNA-No-00188	1	0	0	0	0	0
gRNA-No-00189	7	18	2	8	14	17
gRNA-No-00190	7	11	49	278	105	74
gRNA-No-00191	0	0	0	1	1	1
gRNA-No-00192	0	0	0	0	0	0
gRNA-No-00193	0	0	0	0	0	0
gRNA-No-00194	19	14	4	43	1	35
gRNA-No-00195	0	0	0	0	0	0
gRNA-No-00196	0	0	0	0	0	0
gRNA-No-00197	12	25	19	81	18	7
gRNA-No-00198	6	20	8	76	23	14
gRNA-No-00199	200	309	138	720	143	123
gRNA-No-00200	11	78	19	152	37	34
gRNA-No-00201	17	28	3	17	1	17
gRNA-No-00202	53	78	17	329	4	10
gRNA-No-00203	0	0	0	1	0	0
gRNA-No-00204	0	4	1	52	1	0
gRNA-No-00206	1	7	0	0	0	0
gRNA-No-00207	83	156	75	410	157	182
gRNA-No-00209	131	160	78	353	235	184
gRNA-No-00210	1	0	3	23	1	0
gRNA-No-00211	7	1	4	18	8	3
gRNA-No-00213	0	0	0	0	0	0
gRNA-No-00214	0	0	0	0	0	0
gRNA-No-00215	3	23	1	17	0	0
gRNA-No-00216	0	0	0	0	0	0
gRNA-No-00217	174	263	63	518	128	192
gRNA-No-00218	796	1034	485	2122	940	707
gRNA-No-00219	399	505	189	838	342	296
gRNA-No-00220	0	0	0	0	0	0
gRNA-No-00221	0	8	0	3	0	2
gRNA-No-01452	141	168	56	333	208	158
gRNA-No-00223	49	44	17	126	31	16
gRNA-No-00224	0	4	0	0	0	0
gRNA-No-00225	28	30	17	106	35	52
gRNA-No-01460	180	255	36	354	135	171
gRNA-No-00227	62	55	25	106	26	28
gRNA-No-00228	0	0	0	0	0	0
gRNA-No-00229	30	91	22	155	30	38
gRNA-No-00230	167	199	88	296	180	99
gRNA-No-00231	243	327	137	825	187	211
gRNA-No-00232	62	115	18	80	118	78
gRNA-No-00233	5	8	9	56	36	28
gRNA-No-00234	49	118	4	23	12	29
gRNA-No-00235	0	0	2	11	3	0
gRNA-No-00237	0	0	0	0	0	0
gRNA-No-00238	29	63	20	137	28	32
gRNA-No-00239	65	42	27	112	18	13
gRNA-No-00240	3	3	1	48	3	0
gRNA-No-00241	1	3	9	67	11	8
gRNA-No-00242	24	14	2	17	0	2
gRNA-No-00243	0	0	1	1	2	3
gRNA-No-00244	0	0	0	0	0	0
gRNA-No-00245	90	144	15	159	88	93
gRNA-No-00246	295	452	203	1210	412	417
gRNA-No-00247	318	387	177	765	448	359
gRNA-No-00249	30	39	37	154	77	49
gRNA-No-00250	287	366	71	381	176	147
gRNA-No-00251	0	0	0	6	3	4
gRNA-No-00252	0	0	0	0	1	0
gRNA-No-00253	43	32	17	130	16	22
gRNA-No-00254	212	310	103	529	177	144
gRNA-No-00255	34	61	18	71	5	5
gRNA-No-00256	199	279	146	765	243	232
gRNA-No-00257	324	417	110	480	338	356
gRNA-No-00258	62	84	74	358	132	129
gRNA-No-00259	82	115	60	231	112	105
gRNA-No-00261	16	273	20	487	21	125
gRNA-No-00262	220	284	113	530	176	135
gRNA-No-00263	84	67	47	198	58	82
gRNA-No-00264	211	344	119	653	170	172
gRNA-No-00265	521	509	348	1756	455	359
gRNA-No-00266	12	5	24	184	57	20
gRNA-No-00267	1	0	0	3	1	0
gRNA-No-00268	5	39	6	48	3	2
gRNA-No-00270	37	41	23	101	54	64
gRNA-No-00271	18	15	4	40	51	71
gRNA-No-00272	200	257	103	488	190	228
gRNA-No-00273	24	30	19	68	22	9
gRNA-No-00274	53	89	36	244	35	27
gRNA-No-00276	42	61	23	137	40	21
gRNA-No-00277	55	99	47	193	45	66
gRNA-No-00278	0	0	0	2	0	0
gRNA-No-23215	0	0	0	0	0	0
gRNA-No-00280	2	3	5	2	4	0
gRNA-No-00281	0	0	0	0	0	0
gRNA-No-00282	0	0	0	5	0	2
gRNA-No-00283	0	0	11	38	0	1
gRNA-No-00284	115	119	43	226	93	89
gRNA-No-00285	103	112	55	320	77	84
gRNA-No-49513	22	22	7	79	11	11
gRNA-No-34476	0	0	0	0	0	0
gRNA-No-00288	84	103	48	318	177	146
gRNA-No-00289	15	16	10	79	26	16
gRNA-No-00290	114	160	50	299	146	127
gRNA-No-00291	88	170	48	249	161	131
gRNA-No-00292	0	0	2	3	0	0
gRNA-No-00293	4	16	3	20	49	35
gRNA-No-00294	4	9	5	4	0	1
gRNA-No-00295	7	15	14	57	5	9
gRNA-No-00296	172	176	66	231	158	153
gRNA-No-00297	69	36	20	103	31	33
gRNA-No-00298	0	25	1	27	2	11
gRNA-No-00299	7	2	3	20	0	0
gRNA-No-00300	13	26	3	10	18	18
gRNA-No-00301	9	31	4	39	6	8
gRNA-No-00302	0	0	0	0	0	0
gRNA-No-00304	0	26	0	19	0	21
gRNA-No-01984	193	374	83	496	217	261
gRNA-No-00306	59	63	24	133	39	74
gRNA-No-00307	4	9	0	15	3	3
gRNA-No-00308	405	457	209	726	345	274
gRNA-No-00309	8	46	0	15	4	34
gRNA-No-00311	47	55	47	207	40	47
gRNA-No-00312	0	0	0	0	0	0
gRNA-No-00313	67	115	40	204	84	98
gRNA-No-00314	198	353	171	893	314	291
gRNA-No-00315	122	135	93	526	136	134
gRNA-No-00316	34	70	29	144	32	52
gRNA-No-00317	139	176	50	271	122	121
gRNA-No-00318	0	2	1	0	12	19
gRNA-No-00319	0	4	4	79	13	9
gRNA-No-00320	7	28	3	35	16	28
gRNA-No-00321	26	34	26	130	44	21
gRNA-No-00322	27	37	16	110	50	38
gRNA-No-00323	0	6	0	0	0	1
gRNA-No-00324	0	0	0	0	0	0
gRNA-No-00325	126	161	32	185	130	97
gRNA-No-00326	0	0	0	0	0	0
gRNA-No-00327	191	221	90	469	193	169
gRNA-No-00328	66	102	30	182	44	75
gRNA-No-00329	6	19	4	8	8	15
gRNA-No-00330	9	25	9	81	31	33
gRNA-No-00331	10	9	18	63	53	40
gRNA-No-00332	45	54	30	122	80	71
gRNA-No-00333	9	3	2	19	0	1
gRNA-No-00334	25	121	33	400	20	87
gRNA-No-00335	45	20	0	0	18	10
gRNA-No-00336	27	41	23	86	11	12
gRNA-No-00337	35	54	46	245	110	111
gRNA-No-00338	1	1	0	0	4	4
gRNA-No-00341	182	193	145	568	183	122
gRNA-No-00342	10	7	0	1	0	0
gRNA-No-00343	0	0	0	0	0	0
gRNA-No-00344	0	0	0	0	0	0
gRNA-No-00345	64	113	21	104	76	76
gRNA-No-00346	177	251	159	812	314	316
gRNA-No-00347	131	134	90	808	117	127
gRNA-No-00348	0	0	0	0	0	1
gRNA-No-00349	12	81	22	325	37	149
gRNA-No-00350	27	42	2	35	12	14
